Feature,Importance
3d-TDB5m,0.002574280201518251
PubchemFP695,0.0025720822482896743
PubchemFP286,0.00257169592304065
3d-TDB6m,0.0025710231539749586
ATS5v,0.002563193594714653
PubchemFP567,0.002560020610350723
3d-RNCS,0.002551064858373867
MATS5s,0.0025488951402106346
MATS4m,0.0025476455564168326
PubchemFP436,0.0025452800113269615
PubchemFP399,0.002538671238647117
3d-RDF60s,0.0025360846095852643
SpMin5_Bhs,0.002536021475656836
PubchemFP701,0.0025359009559965786
nHaaNH,0.0025340599549928686
GATS4m,0.002533835438134107
3d-RHSA,0.002533446600894688
GATS6s,0.002530089621515308
PubchemFP23,0.002523929669473016
nFG12Ring,0.0025195083415264306
nAtomLAC,0.0025190926793910743
GATS3m,0.00251323120015005
SpMax8_Bhs,0.002506943465587926
VR3_Dzm,0.002500128447072054
3d-Km,0.002499505566323432
3d-TDB6v,0.002498106124478479
MDEC-12,0.002497312690704477
3d-RDF70e,0.0024868708801830067
3d-RDF60i,0.002478668559388107
VE2_Dze,0.0024767273770872488
AATS1e,0.0024755386496383754
ATS4i,0.0024747146101040257
3d-DPSA-3,0.002469647911345559
nHBAcc_Lipinski,0.002469047063106812
AATS7v,0.0024641844669670955
nN,0.0024612985626927633
ATSC5v,0.0024587851844691945
PubchemFP543,0.0024565756230898145
3d-RDF35s,0.0024551727733335697
PubchemFP607,0.0024547104463987727
BIC1,0.002450968212480865
naaN,0.0024464443544765712
3d-RDF90i,0.002439775535591046
ATSC4p,0.0024396335868516715
minsCl,0.0024373996335731894
AATS3i,0.0024339983190998656
nRotB,0.0024299121272566516
AATS5v,0.00241351555515079
AATSC6v,0.0024116115107198728
3d-RDF80e,0.0024060642341137417
PubchemFP24,0.002404162332678345
SpMin2_Bhe,0.0023989597753604998
minHBint9,0.002398256878461298
SpMin1_Bhe,0.0023976828805326086
VR2_Dzv,0.002391629285632015
3d-RDF75i,0.0023902270178238296
AATSC3i,0.0023876151410165193
SpMin6_Bhs,0.0023828967173642286
3d-RDF20v,0.0023823717437857273
WTPT-5,0.002376617097388806
maxssCH2,0.00237603390095544
MATS7s,0.002373023381881453
PubchemFP689,0.002372981474270416
PubchemFP342,0.0023714339741915252
3d-RDF75v,0.0023618439278959655
nBr,0.0023615807704430616
MATS8s,0.002361333217999002
3d-RDF75u,0.0023610923717264547
PubchemFP34,0.0023513027495669432
maxHaaNH,0.0023508137314255943
ETA_Shape_P,0.002350406445088708
3d-PNSA-1,0.0023478206023546783
ZMIC3,0.0023458969422216706
3d-As,0.0023435968307443495
3d-RDF55s,0.002331842207570048
PubchemFP333,0.002330600920171536
mindsCH,0.0023301066131582327
3d-RDF110v,0.0023247066732880973
SpMax1_Bhi,0.0023163399174806628
ZMIC2,0.00231109709248206
nHCsatu,0.002306614869198269
PubchemFP366,0.002303366922010139
nHBint9,0.0023013882540585226
C1SP2,0.0022982037882293242
3d-RDF65m,0.00229780150421787
maxsF,0.002295298085111779
MATS2e,0.002290755067284921
ATSC3s,0.0022872967686181265
3d-TDB6r,0.0022810896702094145
MDEC-14,0.002279516367157653
PubchemFP662,0.002278858946403217
VE1_D,0.0022663607681125872
PubchemFP705,0.0022658143232259496
MDEO-22,0.002258671712092083
BCUTw-1h,0.0022567227855784383
PubchemFP614,0.0022530923013588957
ATSC2c,0.002248779469696339
3d-TDB3e,0.0022471729729573895
AATSC3e,0.0022421960980203324
3d-RDF125e,0.0022342159753980994
SpMax4_Bhp,0.0022329900644206964
3d-RDF110i,0.0022328725596275556
3d-TDB10i,0.002231790186596955
PubchemFP729,0.002228090678792695
3d-E1u,0.0022202450093136428
3d-RDF40i,0.002218232988952058
SpAbs_Dzs,0.0022180404347380625
