Feature,Importance
ATS0i,0.0010459035551683815
SpMin7_Bhs,0.0010429026097035332
3d-RDF80u,0.0010417954753398572
ntsC,0.0010363069357617217
SP-6,0.0010341468544944777
CIC1,0.0010336687965680658
SHBint8,0.0010312067537458613
SHAvin,0.0010300935448748437
SpMax3_Bhs,0.001028191431124592
3d-RDF20p,0.0010269115921062832
3d-RDF85s,0.0010268930908070128
maxHBint5,0.001026253936303001
SpMax6_Bhi,0.0010234235664405734
AATSC6e,0.0010196366216075115
3d-RDF70u,0.0010195923071801283
SsBr,0.0010092928767937326
ATS4i,0.0010078510812277953
PubchemFP397,0.0010001342596458796
SpMin6_Bhp,0.0009983201261737572
3d-RDF35m,0.0009924525904344672
3d-FNSA-1,0.0009919393555130162
PubchemFP445,0.0009836750708125176
3d-TDB9s,0.0009814864500906518
VR2_DzZ,0.0009802841756272995
3d-RDF90v,0.0009802527499619962
VPC-4,0.0009801681788168426
ATSC6c,0.0009787666862000944
PubchemFP633,0.000973902165869267
MATS1v,0.0009729585261888274
PubchemFP600,0.0009657386880999597
3d-RDF60u,0.0009646562466682385
3d-RDF20e,0.0009637606679664734
MPC9,0.0009604565987871627
VE1_Dt,0.000960407312590783
ATS7e,0.0009516807682030892
PubchemFP419,0.0009486884301319942
3d-RDF25u,0.0009418434020143418
AATSC0m,0.0009416193850287025
3d-RDF140m,0.0009414849583731178
SpDiam_DzZ,0.0009355009702908701
3d-L3m,0.0009320633414352409
SPC-6,0.0009315550123153882
3d-RDF20u,0.0009301614212643861
AATS3s,0.0009263062400323152
maxHAvin,0.0009229976756649716
GATS1p,0.000919337242106233
3d-RDF90p,0.0009188803379128529
PubchemFP364,0.0009134619592946813
3d-E2e,0.0009084583780857525
3d-E1i,0.0009076649261807845
JGI4,0.0009072420586441199
PubchemFP618,0.0009049179144992147
SIC3,0.0009046943940165142
SpMin5_Bhi,0.0009016599372552503
PubchemFP734,0.0009008639142998098
SpMax_Dzi,0.0009000479010521812
3d-RDF130u,0.0008992974505090068
3d-TDB10s,0.0008987085707964027
3d-RDF150i,0.0008956202167348049
SpMin1_Bhp,0.0008954764747247879
GATS7v,0.0008928420664346181
PubchemFP473,0.0008895856609654861
3d-RDF10e,0.0008862351514366207
PubchemFP34,0.0008858996444387924
AATSC3v,0.0008834509633423249
3d-RDF75u,0.0008801981347689947
3d-RDF75v,0.0008780859049099532
3d-P1i,0.0008741504461543092
minHBint9,0.0008720329624795741
SpMin6_Bhe,0.0008714938865409972
3d-RDF140v,0.0008683743268757982
ATS0v,0.0008672868721982807
MATS7i,0.0008649083020423221
3d-RDF105v,0.0008643152836767531
IC2,0.0008623782426114724
ATSC8p,0.0008612949125101022
MATS3v,0.0008606599277704019
3d-RDF115e,0.0008541812389312286
PubchemFP533,0.0008538101904537298
AATSC2s,0.0008519175853728634
SpMax7_Bhi,0.0008487157076523477
3d-GRAVH-3,0.0008470084453485405
3d-WNSA-1,0.0008460726288678111
MATS6e,0.0008441099538680552
3d-RDF95v,0.0008357067330869272
nHBDon,0.0008321484008064095
GATS3v,0.0008292857489800131
3d-RDF15m,0.0008271690565107348
C2SP1,0.0008265917718671024
3d-PPSA-1,0.0008260289166184487
VC-5,0.0008249579010315533
3d-RDF125e,0.0008241785058861528
ETA_EtaP_B,0.0008216401629370651
maxHBint8,0.0008209679741801757
3d-RDF60p,0.0008198681260185414
PubchemFP417,0.0008195587516928393
PubchemFP386,0.0008157922878182178
3d-RDF125i,0.0008137974217308441
MATS7c,0.0008136411694871781
3d-RDF75e,0.0008093567210644248
GATS2m,0.0008064808360294995
3d-RDF150p,0.0008048991511042547
PubchemFP704,0.00080389789652765
3d-RDF65m,0.0008029600774703827
minHBint5,0.0007985550240719342
Kier1,0.00079854912288162
3d-RDF75p,0.0007983318833523878
PubchemFP345,0.0007976732405418185
3d-RDF135s,0.0007976703588174816
3d-RDF40v,0.000792572746487441
SpMin6_Bhs,0.0007919188526762766
AATSC1v,0.0007914709972057898
nFRing,0.0007901753048992766
VC-6,0.000787411331287291
MATS8e,0.0007868502112190923
3d-RDF35u,0.0007827201568831654
ATSC7i,0.0007825421928634113
minsOH,0.0007820846378719937
nN,0.0007812022851629407
ATSC1m,0.0007808896978405255
AATSC7s,0.00078056684363641
SpAbs_Dze,0.0007789201208412532
VR1_Dt,0.0007785145953832396
SpMin5_Bhe,0.0007753596395128959
3d-E1u,0.0007738020603606843
3d-RDF35s,0.0007669388374014763
3d-RDF20v,0.0007657805551996466
SpMax5_Bhi,0.0007655484455794225
nF,0.0007643696493219276
MIC1,0.0007608440563442898
MATS7s,0.0007573048763928059
minHBint3,0.000756157206534136
3d-RDF15u,0.0007551610792909224
3d-RDF40e,0.0007551088127204731
3d-TDB3e,0.0007536214574125566
SpMin4_Bhi,0.0007533379003492157
AATSC3e,0.0007525795421568394
AATSC4s,0.0007478134502114098
PubchemFP726,0.000747596592121802
hmax,0.0007475659185961492
PubchemFP388,0.0007474489039990817
PubchemFP357,0.0007450509872766409
3d-RDF120p,0.000744219702671578
VPC-6,0.0007396554525249454
ZMIC2,0.0007395990236185312
PubchemFP742,0.0007390898492061649
WTPT-1,0.0007374752671245766
naaS,0.0007364777848334003
PubchemFP692,0.0007340008178110758
3d-P1u,0.0007312454576081428
3d-RDF50v,0.0007301149449228661
nHCsatu,0.0007261712262213282
SpDiam_Dt,0.0007260099092760375
3d-WPSA-1,0.0007239805533711286
3d-RDF10u,0.0007230309601601204
ATS4p,0.0007220602405883514
ASP-7,0.0007174212878170328
3d-L3v,0.0007123522910323143
3d-RDF70v,0.0007100841672562752
PubchemFP508,0.0007082643169526337
AATS2e,0.0007082090141055985
ETA_Eta_F_L,0.0007063333957632256
EE_Dze,0.0007043310212781373
3d-RDF100v,0.0007011774333585685
SpMax4_Bhv,0.0007010688679731202
PubchemFP183,0.0007002479119378568
PubchemFP648,0.0006993852175814941
3d-TDB8m,0.0006967820933556412
SpMin8_Bhi,0.0006967477132208355
bpol,0.0006964975904363513
3d-E2v,0.0006955188116832712
SpMin2_Bhe,0.0006882135989694782
3d-RDF140u,0.0006861700242947411
ATSC3e,0.0006853437246231552
ETA_dBeta,0.0006762520358772894
3d-RDF80e,0.0006736470103671732
MATS1s,0.0006725857317119055
PubchemFP195,0.0006686012494606985
SpMin3_Bhm,0.0006681262825688261
3d-Ap,0.0006659477425059567
TPC,0.0006625665880178655
3d-RDF45u,0.0006624558323523822
3d-RDF60v,0.00066065133101878
SpMin5_Bhp,0.0006606312751232579
SIC2,0.0006595147295870741
SHdsCH,0.0006590972486816504
3d-TDB4v,0.0006559579735340604
SpMax7_Bhe,0.0006536013462563383
GATS6c,0.0006521270609484598
PubchemFP839,0.0006508131146736096
BIC1,0.000650472445266026
PubchemFP23,0.0006497171541804403
ATS6i,0.0006476646666874752
AATSC5v,0.0006469352973291099
VE2_Dzs,0.000644776768988431
3d-RDF125p,0.0006422021847618198
PubchemFP335,0.0006403152417417624
PubchemFP498,0.0006397211850175166
3d-TDB7u,0.0006395079249438939
3d-GRAV-5,0.0006377971442014463
VR2_Dt,0.0006355142683382553
MATS4m,0.000631546101778091
3d-E1p,0.0006307996814664651
3d-RDF120u,0.0006281758437396756
VC-3,0.000627921995355818
3d-RDF65u,0.0006266814919826058
AATSC8c,0.0006265418938223522
GATS1m,0.0006244779688322933
ATS5s,0.0006233381555090123
ATSC7c,0.0006233311166464084
ZMIC4,0.0006233038171241767
GATS3p,0.0006202439706018859
PubchemFP487,0.0006171577285012164
VE1_DzZ,0.0006171427745786829
SpMin1_Bhe,0.0006156234031748587
3d-RDF130p,0.0006153806448671029
ATSC7s,0.0006151568801133211
3d-FPSA-1,0.000614515695135931
ATS0e,0.000610143932794649
MPC7,0.0006068853827334242
3d-RDF15i,0.0006054677152014021
AATS3e,0.0006023934143630783
3d-RNCS,0.0005990743638944806
3d-TDB2e,0.0005961254984033548
ATSC5e,0.0005934722543102123
MATS2s,0.000592920027952748
ATSC4i,0.0005929028250088786
ETA_Eta_B,0.0005922819365656417
ATS3i,0.0005922612785142723
PubchemFP460,0.000591132163208874
3d-Ve,0.000589843056442052
3d-RDF135e,0.0005895992366909741
nC,0.0005873751178475661
3d-TDB7i,0.0005859688879330082
3d-RDF150u,0.0005858570292128662
MATS8i,0.0005844713174407046
3d-RDF15e,0.0005831351259417916
SaaCH,0.0005820420713988139
nsOm,0.0005814340391495865
XLogP,0.0005811399368204295
3d-TDB10u,0.0005810767618269375
SpMin5_Bhm,0.0005806089183504892
3d-L1s,0.000579149388379363
3d-RDF50p,0.0005771868027405702
MATS4e,0.0005761780088668567
PubchemFP535,0.0005758188661366681
MPC8,0.0005748073654158858
ATSC5v,0.0005736955496273733
3d-RDF135u,0.0005720976507824771
GATS6m,0.000571852051971089
SpMax6_Bhp,0.0005678919510121005
SpMin4_Bhp,0.0005673675397590894
SHBint3,0.0005663093372996197
3d-RDF65s,0.000566286458626264
SpMax7_Bhv,0.0005642078507746229
GATS7s,0.0005635543181500613
3d-MOMI-XZ,0.0005625014256518734
ETA_dEpsilon_B,0.0005623822173621452
ATS2v,0.0005613949425651965
mintsC,0.0005611195239693778
3d-RDF135i,0.0005611088307140632
SpAD_Dzv,0.0005594169050351261
nHAvin,0.0005593876997159297
SpMin7_Bhi,0.000558376602292543
AATSC5i,0.0005578123985987227
minHBint6,0.0005552040646925494
StsC,0.0005526982573922812
PubchemFP380,0.0005510672806405825
nBondsS2,0.0005469172675553691
PubchemFP637,0.000543556597946726
minHdNH,0.0005434777771971211
maxHsNH2,0.0005420985757538576
ATS2e,0.0005418534998205438
nHdsCH,0.0005414274786549877
3d-RDF135v,0.0005406930734207837
SpDiam_Dzv,0.0005397829600388814
SpMin8_Bhe,0.0005386449123444215
SpMin3_Bhv,0.0005383394532291307
MWC3,0.0005374674272204283
PubchemFP452,0.0005368378814121222
3d-MOMI-XY,0.0005362063237562831
AATS1s,0.000536156792849285
ATSC4p,0.0005356512787601297
3d-TDB2m,0.0005355907426216166
ASP-5,0.0005310459765988318
3d-RDF120e,0.0005306244649284309
SpMin2_Bhi,0.0005290434699733338
VE3_DzZ,0.0005283740162060346
ATSC7e,0.0005276844159721516
JGI5,0.0005263186134690789
3d-RDF80i,0.0005259960482766335
3d-RDF105s,0.0005256718656189152
SpAbs_Dzv,0.0005256321545183851
AATS7m,0.0005249036717388189
hmin,0.0005241967501936395
3d-RDF115m,0.0005197208627872318
MATS3m,0.0005191578711589706
Mare,0.0005183612140802318
AATS2s,0.0005167834482788236
AATS5s,0.000516036826925137
3d-TDB1s,0.0005149000111251522
VPC-5,0.0005138520733155461
MATS3s,0.0005122002435673734
VR3_DzZ,0.0005104715558519879
3d-RDF110p,0.0005094846130106245
Kier2,0.0005086089055846954
3d-geomRadius,0.0005080987210574928
3d-L3p,0.0005074188463769058
3d-RDF115v,0.0005054914384345465
AATS3p,0.0005045933480708698
ETA_Eta_F,0.000503110859817546
SpMin5_Bhv,0.0005026757197436393
ATSC3p,0.0004980887435510062
3d-RDF150e,0.0004937553843886944
AATSC0c,0.0004905516456128467
VE1_Dzm,0.00048795037053901426
AATSC6m,0.00048459044999239477
SPC-5,0.00048363698521296515
VE1_Dzs,0.00048344028988612787
3d-TDB3m,0.00047953376628375735
minHBint8,0.0004793475562552274
ATSC4m,0.00047638567520172923
ATS1p,0.00047341446147616264
ETA_dEpsilon_D,0.00047207775882583957
ATSC0c,0.0004703545982109425
VR2_Dzs,0.00047027389730772693
SpMin4_Bhs,0.00046917325138570167
3d-TDB9u,0.00046773656660159535
MLFER_A,0.0004660505678963256
SpAD_Dzp,0.00046576566355726045
nAtomP,0.0004648558680829695
MATS4c,0.0004646103490213438
JGI2,0.00046355589813544816
SRW2,0.0004635367030091819
AATSC0i,0.00046311217758006064
GATS4m,0.00046298266858103566
nBondsS3,0.00046297781713839915
minHAvin,0.00046256348469472244
3d-TDB9m,0.0004607228583371037
MATS7e,0.0004606841258710803
EE_Dzs,0.0004584245082995042
ETA_BetaP,0.00045402571589922005
3d-LOBMAX,0.00045291110197825946
PubchemFP699,0.0004527824603115183
nRotB,0.0004515605692731794
3d-RDF155s,0.00044932176981883344
3d-RDF100p,0.00044893254340229173
maxaaN,0.0004462306234727542
PubchemFP453,0.0004449209728396797
AATS0i,0.0004438680754322077
VR2_Dzm,0.0004437712407394767
VR1_DzZ,0.00044353975435315054
3d-Dm,0.00044293735757204854
3d-Di,0.00044248300462309544
3d-RDF150v,0.0004412402017594519
MATS1m,0.000439581291310287
3d-RDF35v,0.00043832129170570113
VP-1,0.0004378127187542269
nssS,0.0004344798936127381
MATS8p,0.0004343793259990236
3d-RDF100s,0.0004335766701044186
AATS8s,0.0004328591368987
3d-Ae,0.0004314206180452418
3d-GRAV-1,0.0004282001515321876
SpMax2_Bhm,0.0004275992144708196
3d-L3i,0.00042745471850069716
3d-Dv,0.00042738679507320354
GATS5i,0.0004272799551889417
3d-FPSA-3,0.0004252365150193782
3d-RDF130s,0.00042459996164496695
ATSC5i,0.000422195758616295
SpMax4_Bhs,0.00042202776161829323
maxsCH3,0.0004196874176754961
MATS6c,0.0004184232267486654
AATS1v,0.0004178788420817203
3d-RDF105m,0.00041781003581178313
