"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties";"Action Type";"Standard Text Value"
"CHEMBL36";"PYRIMETHAMINE";"4.0";"248.72";"0";"2.52";"4 (Pyrimethamine)";"CCc1nc(N)nc(N)c1-c1ccc(Cl)cc1";"IC50";"'='";"390.0";"nM";"6.41";"";"";"UO_0000065";"25.77";"0.51";"3.89";"8.24";"1";"CHEMBL664922";"Inhibitory activity against dihydrofolate reductase DHFR in Toxoplasma gondii.";"B";"BAO_0000357";"single protein format";"Toxoplasma gondii";"None";"None";"None";"None";"";"";"";"CHEMBL2425";"Dihydrofolate reductase";"Toxoplasma gondii";"SINGLE PROTEIN";"CHEMBL1134547";"1";"Scientific Literature";"J Med Chem";"2001";"None";"";"";""
"CHEMBL104020";"";"None";"421.46";"0";"2.75";"26";"CCc1nc(N)nc(N)c1-c1ccc(NCc2ccc(C(=O)NC)cc2)c([N+](=O)[O-])c1";"IC50";"'='";"4.3";"nM";"8.37";"";"";"UO_0000065";"19.85";"0.37";"5.62";"5.16";"0";"CHEMBL884350";"Inhibitory activity against Dihydrofolate reductase from Toxoplasma gondii was evaluated using 90 uM dihydrofolic acid as substrate";"B";"BAO_0000357";"single protein format";"Toxoplasma gondii";"None";"None";"None";"None";"";"";"";"CHEMBL2425";"Dihydrofolate reductase";"Toxoplasma gondii";"SINGLE PROTEIN";"CHEMBL1130351";"1";"Scientific Literature";"J Med Chem";"1997";"None";"";"";""
"CHEMBL58597";"";"None";"494.43";"0";"2.21";"10";"COc1cc(N2C=Cc3c(cnc4nc(N)nc(N)c34)C2)cc(OC)c1OC.O=C(O)C(F)(F)F";"IC50";"'='";"760.0";"nM";"6.12";"";"";"UO_0000065";"16.09";"0.30";"3.91";"5.03";"0";"CHEMBL665593";"Inhibitory concentration against Toxoplasma gondii Dihydrofolate reductase";"B";"BAO_0000357";"single protein format";"Toxoplasma gondii";"None";"None";"None";"None";"";"";"";"CHEMBL2425";"Dihydrofolate reductase";"Toxoplasma gondii";"SINGLE PROTEIN";"CHEMBL1130385";"1";"Scientific Literature";"J Med Chem";"1997";"None";"";"";""
"CHEMBL113816";"";"None";"339.40";"0";"2.45";"12";"COc1cc(CN(C)c2ccc3nc(N)nc(N)c3c2)cc(OC)c1";"IC50";"'='";"9.3";"nM";"8.03";"";"";"UO_0000065";"23.66";"0.44";"5.58";"8.07";"0";"CHEMBL664917";"Inhibitory activity against Dihydrofolate reductase from Toxoplasma gondii (tgDHFR)";"B";"BAO_0000357";"single protein format";"Toxoplasma gondii";"None";"None";"None";"None";"";"";"";"CHEMBL2425";"Dihydrofolate reductase";"Toxoplasma gondii";"SINGLE PROTEIN";"CHEMBL1131583";"1";"Scientific Literature";"J Med Chem";"1998";"None";"";"";""
"CHEMBL34259";"METHOTREXATE";"4.0";"454.45";"0";"0.27";"MTX";"CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1";"IC50";"'='";"18000.0";"nM";"4.75";"";"";"UO_0000065";"10.44";"0.20";"4.47";"2.25";"0";"CHEMBL914521";"Inhibition of Toxoplasma gondii thymidylate synthase";"B";"BAO_0000357";"single protein format";"Toxoplasma gondii";"None";"None";"None";"None";"";"";"";"CHEMBL2425";"Dihydrofolate reductase";"Toxoplasma gondii";"SINGLE PROTEIN";"CHEMBL1139472";"1";"Scientific Literature";"J Med Chem";"2005";"None";"";"";""
"CHEMBL7062";"";"None";"338.33";"0";"2.89";"5i";"Nc1nc(N)c2c(n1)CCC(Cc1ccc(OC(F)(F)F)cc1)C2";"IC50";"'='";"73.0";"nM";"7.14";"";"";"UO_0000065";"21.09";"0.41";"4.25";"8.20";"0";"CHEMBL665602";"The ability to inhibit Toxoplasma gondii Dihydrofolate reductase was tested";"B";"BAO_0000357";"single protein format";"Toxoplasma gondii";"None";"None";"None";"None";"";"";"";"CHEMBL2425";"Dihydrofolate reductase";"Toxoplasma gondii";"SINGLE PROTEIN";"CHEMBL1132605";"1";"Scientific Literature";"J Med Chem";"1999";"None";"";"";""
"CHEMBL279680";"";"None";"354.41";"0";"2.15";"3b";"COc1ccc(N(C)Cc2cnc3nc(N)nc(N)c3c2C)cc1OC";"IC50";"'='";"29.0";"nM";"7.54";"";"";"UO_0000065";"21.27";"0.40";"5.39";"6.71";"1";"CHEMBL884354";"The compound was tested for inhibition of dihydrofolate reductase(DHFR) from Toxoplasma gondii(tg)";"B";"BAO_0000357";"single protein format";"Toxoplasma gondii";"None";"None";"None";"None";"";"";"";"CHEMBL2425";"Dihydrofolate reductase";"Toxoplasma gondii";"SINGLE PROTEIN";"CHEMBL1132261";"1";"Scientific Literature";"J Med Chem";"1999";"None";"";"";""
"CHEMBL149027";"";"None";"375.26";"0";"3.05";"7";"Nc1nc(N)c2cc3c(nc2n1)CCN(Cc1ccc(Cl)cc1Cl)C3";"IC50";"'='";"2100.0";"nM";"5.68";"";"";"UO_0000065";"15.13";"0.31";"2.63";"6.04";"0";"CHEMBL665701";"Inhibitory activity against Toxoplasma gondii (tg) Dihydrofolate reductase (DHFR)";"B";"BAO_0000357";"single protein format";"Toxoplasma gondii";"None";"None";"None";"None";"";"";"";"CHEMBL2425";"Dihydrofolate reductase";"Toxoplasma gondii";"SINGLE PROTEIN";"CHEMBL1135650";"1";"Scientific Literature";"J Med Chem";"2002";"None";"";"";""
"CHEMBL280378";"EPIROPRIM";"2.0";"353.43";"0";"2.82";"Epiroprim";"CCOc1cc(Cc2cnc(N)nc2N)cc(OCC)c1-n1cccc1";"IC50";"'='";"480.0";"nM";"6.32";"";"";"UO_0000065";"17.88";"0.33";"3.50";"6.24";"1";"CHEMBL664908";"Inhibitory activity against dihydrofolate reductase from Toxoplasma gondii";"B";"BAO_0000357";"single protein format";"Toxoplasma gondii";"None";"None";"None";"None";"";"";"";"CHEMBL2425";"Dihydrofolate reductase";"Toxoplasma gondii";"SINGLE PROTEIN";"CHEMBL1131327";"1";"Scientific Literature";"J Med Chem";"1998";"None";"";"";""
"CHEMBL55928";"";"None";"326.36";"0";"1.82";"50";"COc1ccc(NCc2ccc3nc(N)nc(N)c3n2)cc1OC";"IC50";"'='";"90.0";"nM";"7.05";"";"";"UO_0000065";"21.59";"0.40";"5.23";"5.81";"1";"CHEMBL828662";"Inhibition of Toxoplasma gondii dihydrofolate reductase";"B";"BAO_0000357";"single protein format";"Toxoplasma gondii";"None";"None";"None";"None";"";"";"";"CHEMBL2425";"Dihydrofolate reductase";"Toxoplasma gondii";"SINGLE PROTEIN";"CHEMBL1145190";"1";"Scientific Literature";"J Med Chem";"2005";"None";"";"";""
