Descriptor,Importance,Descriptor Type,Description,Class
minHother,-6.880746708551878e-05,ElectrotopologicalStateAtomTypeDescriptor,"Minimum atom-type H E-State: H on aaCH, dCH2 or dsCH",2D
TIC1,-6.912665553666652e-05,InformationContentDescriptor,Total information content index (neighborhood symmetry of 1-order),2D
naAromAtom,-6.93850052130296e-05,AromaticAtomsCountDescriptor,Number of aromatic atoms,2D
MDEC-33,-6.941534226447831e-05,MDEDescriptor,Molecular distance edge between all tertiary carbons,2D
MPC4,-6.947317892354032e-05,PathCountDescriptor,Molecular path count of order 4,2D
VE3_Dzi,-6.975314914333674e-05,BaryszMatrixDescriptor,Logarithmic coefficient sum of the last eigenvector from Barysz matrix / weighted by first ionization potential,2D
ETA_Epsilon_3,-7.092895336021642e-05,ExtendedTopochemicalAtomDescriptor,A measure of electronegative atom count,2D
SHother,-7.147129600770796e-05,ElectrotopologicalStateAtomTypeDescriptor,"Sum of atom-type H E-State: H on aaCH, dCH2 or dsCH",2D
RDF75m,-7.15368808947292e-05,RDFDescriptor,Radial distribution function - 075 / weighted by relative mass,3D
nAtomLAC,-7.381136375653741e-05,LongestAliphaticChainDescriptor,Number of atoms in the longest aliphatic chain,2D
RDF40u,-7.394539483872587e-05,RDFDescriptor,Radial distribution function - 040 / unweighted,3D
HybRatio,-7.474353897337637e-05,HybridizationRatioDescriptor,Fraction of sp3 carbons to sp2 carbons,2D
RDF45e,-7.50337462452455e-05,RDFDescriptor,Radial distribution function - 045 / weighted by relative Sanderson electronegativities,3D
MATS2i,-7.567181840962833e-05,AutocorrelationDescriptor,Moran autocorrelation - lag 2 / weighted by first ionization potential,2D
L1i,-7.57095974949773e-05,PaDELWHIMDescriptor,1st component size directional WHIM index / weighted by relative first ionization potential,3D
AATSC1p,-7.631715047476951e-05,AutocorrelationDescriptor,Average centered Broto-Moreau autocorrelation - lag 1 / weighted by polarizabilities,2D
PubchemFP581,-7.855635295433983e-05,SMARTS patterns,O=C-C-C-O,FP
L1u,-7.882420892032504e-05,PaDELWHIMDescriptor,1st component size directional WHIM index / unweighted,3D
WPOL,-7.891652791479631e-05,WienerNumbersDescriptor,Weiner polarity number ,2D
AATSC5p,-8.052502170308173e-05,AutocorrelationDescriptor,Average centered Broto-Moreau autocorrelation - lag 5 / weighted by polarizabilities,2D
RDF70e,-8.07766540242727e-05,RDFDescriptor,Radial distribution function - 070 / weighted by relative Sanderson electronegativities,3D
AATSC5m,-8.09117552858507e-05,AutocorrelationDescriptor,Average centered Broto-Moreau autocorrelation - lag 5 / weighted by mass,2D
WTPT-2,-8.091199109401259e-05,PaDELWeightedPathDescriptor,Molecular ID / number of atoms,2D
SpMax2_Bhe,-8.102447703287608e-05,BurdenModifiedEigenvaluesDescriptor,Largest absolute eigenvalue of Burden modified matrix - n 2 / weighted by relative Sanderson electronegativities,2D
nAtomLC,-8.316109923433013e-05,LargestChainDescriptor,Number of atoms in the largest chain,2D
MATS8s,-8.387180615785362e-05,AutocorrelationDescriptor,Moran autocorrelation - lag 8 / weighted by I-state,2D
ZMIC3,-8.416539360579511e-05,InformationContentDescriptor,Z-modified information content index (neighborhood symmetry of 3-order),2D
ETA_dEpsilon_C,-8.508470896242403e-05,ExtendedTopochemicalAtomDescriptor,A measure of contribution of electronegativity,2D
MATS8m,-8.564028328428286e-05,AutocorrelationDescriptor,Moran autocorrelation - lag 8 / weighted by mass,2D
SpDiam_Dzi,-8.690790646468383e-05,BaryszMatrixDescriptor,Spectral diameter from Barysz matrix / weighted by first ionization potential,2D
ETA_Eta_R,-8.750005614927003e-05,ExtendedTopochemicalAtomDescriptor,Composite index Eta for reference alkane,2D
