Descriptor,Importance,Descriptor Type,Description,Class
GATS5i,0.0004272799551889,AutocorrelationDescriptor,Geary autocorrelation - lag 5 / weighted by first ionization potential,2D
FPSA-3,0.0004252365150193,CPSADescriptor,PPSA-3 / total molecular surface area,3D
RDF130s,0.0004245999616449,RDFDescriptor,Radial distribution function - 130 / weighted by relative I-state,3D
ATSC5i,0.0004221957586162,AutocorrelationDescriptor,Centered Broto-Moreau autocorrelation - lag 5 / weighted by first ionization potential,2D
SpMax4_Bhs,0.0004220277616182,BurdenModifiedEigenvaluesDescriptor,Largest absolute eigenvalue of Burden modified matrix - n 4 / weighted by relative I-state,2D
maxsCH3,0.0004196874176754,ElectrotopologicalStateAtomTypeDescriptor,Maximum atom-type E-State: -CH3,2D
MATS6c,0.0004184232267486,AutocorrelationDescriptor,Moran autocorrelation - lag 6 / weighted by charges,2D
AATS1v,0.0004178788420817,AutocorrelationDescriptor,Average Broto-Moreau autocorrelation - lag 1 / weighted by van der Waals volumes,2D
RDF105m,0.0004178100358117,RDFDescriptor,Radial distribution function - 105 / weighted by relative mass,3D
L1v,0.0004170720949728,PaDELWHIMDescriptor,1st component size directional WHIM index / weighted by relative van der Waals volumes,3D
GATS7c,0.0004164633577786,AutocorrelationDescriptor,Geary autocorrelation - lag 7 / weighted by charges,2D
AATSC7c,0.000416102407537,AutocorrelationDescriptor,Average centered Broto-Moreau autocorrelation - lag 7 / weighted by charges,2D
nHdNH,0.0004153512498458,ElectrotopologicalStateAtomTypeDescriptor,Count of atom-type H E-State: =NH,2D
RDF105u,0.0004134661515165,RDFDescriptor,Radial distribution function - 105 / unweighted,3D
SpMax4_Bhe,0.0004122923200722,BurdenModifiedEigenvaluesDescriptor,Largest absolute eigenvalue of Burden modified matrix - n 4 / weighted by relative Sanderson electronegativities,2D
sumI,0.0004112032290659,ElectrotopologicalStateAtomTypeDescriptor,Sum of the intrinsic state values I,2D
JGT,0.0004110326572492,TopologicalChargeDescriptor,Global topological charge index,2D
RPCS,0.000409719119509,CPSADescriptor,Relative positive charge surface area -- most positive surface area * RPCG,3D
PNSA-1,0.0004091806130463,CPSADescriptor,Partial negative surface area -- sum of surface area on negative parts of molecule,3D
AATSC4p,0.0004090132871118,AutocorrelationDescriptor,Average centered Broto-Moreau autocorrelation - lag 4 / weighted by polarizabilities,2D
MPC3,0.0004082127880074,PathCountDescriptor,Molecular path count of order 3,2D
maxHCsatu,0.0004075232608577,ElectrotopologicalStateAtomTypeDescriptor,Maximum atom-type H E-State: H on C sp3 bonded to unsaturated C,2D
TDB8u,0.0004073327686658,Autocorrelation3DDescriptor,3D topological distance based autocorrelation - lag 8 / unweighted,3D
PubchemFP681,0.0004071163233481,SMARTS patterns,O-C-C-C-C-O,FP
SHdNH,0.0004063336352453,ElectrotopologicalStateAtomTypeDescriptor,Sum of atom-type H E-State: =NH,2D
SpMax_Dzm,0.0004044703176325,BaryszMatrixDescriptor,Leading eigenvalue from Barysz matrix / weighted by mass,2D
naaaC,0.0004043508789268,ElectrotopologicalStateAtomTypeDescriptor,Count of atom-type E-State: ::C:,2D
ATS1v,0.0004029081856674,AutocorrelationDescriptor,Broto-Moreau autocorrelation - lag 1 / weighted by van der Waals volumes,2D
ATS6p,0.0004005588831641,AutocorrelationDescriptor,Broto-Moreau autocorrelation - lag 6 / weighted by polarizabilities,2D
MDEC-23,0.000399839692437,MDEDescriptor,Molecular distance edge between all secondary and tertiary carbons,2D
SpMax5_Bhv,0.0003997382230901,BurdenModifiedEigenvaluesDescriptor,Largest absolute eigenvalue of Burden modified matrix - n 5 / weighted by relative van der Waals volumes,2D
PubchemFP513,0.0003987263292505,SMARTS patterns,S:C:C-[#1],FP
ETA_dPsi_A,0.000397859949361,ExtendedTopochemicalAtomDescriptor,A measure of hydrogen bonding propensity of the molecules,2D
ATSC3c,0.000396945062935,AutocorrelationDescriptor,Centered Broto-Moreau autocorrelation - lag 3 / weighted by charges,2D
RDF100e,0.0003966654788322,RDFDescriptor,Radial distribution function - 100 / weighted by relative Sanderson electronegativities,3D
PubchemFP693,0.0003957299596364,SMARTS patterns,O=C-C-C-C-C-O,FP
MWC10,0.0003952785471613,WalkCountDescriptor,Molecular walk count of order 10 (ln(1+x),2D
PubchemFP652,0.0003924116230624,SMARTS patterns,O-C:C:C-N,FP
nBondsS,0.0003918706795776,PaDELBondCountDescriptor,Number of single bonds (including bonds with hydrogen),2D
C1SP1,0.0003911613042741,PaDELCarbonTypesDescriptor,Triply bound carbon bound to one other carbon ,2D
SpMin2_Bhm,0.0003900440182194,BurdenModifiedEigenvaluesDescriptor,Smallest absolute eigenvalue of Burden modified matrix - n 2 / weighted by relative mass,2D
SpMin3_Bhe,0.000388923547102,BurdenModifiedEigenvaluesDescriptor,Smallest absolute eigenvalue of Burden modified matrix - n 3 / weighted by relative Sanderson electronegativities,2D
L2v,0.0003878664198163,PaDELWHIMDescriptor,2nd component size directional WHIM index / weighted by relative van der Waals volumes,3D
AATSC7e,0.0003860736076724,AutocorrelationDescriptor,Average centered Broto-Moreau autocorrelation - lag 7 / weighted by Sanderson electronegativities,2D
AATS3m,0.0003830715185052,AutocorrelationDescriptor,Average Broto-Moreau autocorrelation - lag 3 / weighted by mass,2D
ndO,0.0003830549691173,ElectrotopologicalStateAtomTypeDescriptor,Count of atom-type E-State: =O,2D
TDB8p,0.0003830323371105,Autocorrelation3DDescriptor,3D topological distance based autocorrelation - lag 8 / weighted by polarizabilities,3D
SpMin6_Bhv,0.0003823488559507,BurdenModifiedEigenvaluesDescriptor,Smallest absolute eigenvalue of Burden modified matrix - n 6 / weighted by relative van der Waals volumes,2D
RDF130i,0.0003821823445995,RDFDescriptor,Radial distribution function - 130 / weighted by relative first ionization potential,3D
AATSC6i,0.0003810741828511,AutocorrelationDescriptor,Average centered Broto-Moreau autocorrelation - lag 6 / weighted by first ionization potential,2D
P2u,0.000380250449356,PaDELWHIMDescriptor,2nd component shape directional WHIM index / unweighted,3D
PubchemFP578,0.0003772301812042,SMARTS patterns,C-C:C-C:C,FP
MATS4s,0.0003762175888717,AutocorrelationDescriptor,Moran autocorrelation - lag 4 / weighted by I-state,2D
C2SP2,0.0003758215923917,PaDELCarbonTypesDescriptor,Doubly bound carbon bound to two other carbons ,2D
SpMin1_Bhm,0.0003753526282473,BurdenModifiedEigenvaluesDescriptor,Smallest absolute eigenvalue of Burden modified matrix - n 1 / weighted by relative mass,2D
Sare,0.0003751133167253,ConstitutionalDescriptor,Sum of atomic Allred-Rochow electronegativities (scaled on carbon atom),2D
E1s,0.0003749948120669,PaDELWHIMDescriptor,1st component accessibility directional WHIM index / weighted by relative I-state,3D
SpMin3_Bhi,0.0003749906302694,BurdenModifiedEigenvaluesDescriptor,Smallest absolute eigenvalue of Burden modified matrix - n 3 / weighted by relative first ionization potential,2D
RDF145m,0.0003749246074048,RDFDescriptor,Radial distribution function - 145 / weighted by relative mass,3D
GATS7i,0.0003732219538532,AutocorrelationDescriptor,Geary autocorrelation - lag 7 / weighted by first ionization potential,2D
RDF145u,0.0003710985593405,RDFDescriptor,Radial distribution function - 145 / unweighted,3D
Vm,0.0003705820865742,PaDELWHIMDescriptor,V total size index / weighted by relative mass,3D
SssS,0.00037044269006,ElectrotopologicalStateAtomTypeDescriptor,Sum of atom-type E-State: -S-,2D
RDF95p,0.0003691088586645,RDFDescriptor,Radial distribution function - 095 / weighted by relative polarizabilities,3D
CIC0,0.0003690680130391,InformationContentDescriptor,Complementary information content index (neighborhood symmetry of 0-order),2D
ATS3v,0.0003685262511119,AutocorrelationDescriptor,Broto-Moreau autocorrelation - lag 3 / weighted by van der Waals volumes,2D
Ti,0.0003674895305961,PaDELWHIMDescriptor,T total size index / weighted by relative first ionization potential,3D
VR1_Dzs,0.0003671342677678,BaryszMatrixDescriptor,Randic-like eigenvector-based index from Barysz matrix / weighted by I-state,2D
PubchemFP592,0.0003661005015453,SMARTS patterns,N-C-C-C-C,FP
SdNH,0.0003658389300095,ElectrotopologicalStateAtomTypeDescriptor,Sum of atom-type E-State: =NH,2D
MATS4p,0.0003652530036289,AutocorrelationDescriptor,Moran autocorrelation - lag 4 / weighted by polarizabilities,2D
minHsNH2,0.0003651377252467,ElectrotopologicalStateAtomTypeDescriptor,Minimum atom-type H E-State: -NH2,2D
WTPT-5,0.0003633005181052,PaDELWeightedPathDescriptor,Sum of path lengths starting from nitrogens,2D
MATS2c,0.0003631270616381,AutocorrelationDescriptor,Moran autocorrelation - lag 2 / weighted by charges,2D
ATSC1c,0.0003629987266955,AutocorrelationDescriptor,Centered Broto-Moreau autocorrelation - lag 1 / weighted by charges,2D
PubchemFP358,0.0003625294240248,"Atom Nearest Neighbors (""~"" bond, "":""bond aromaticity)",C(~C)(:N),FP
AATS4p,0.00036209725138,AutocorrelationDescriptor,Average Broto-Moreau autocorrelation - lag 4 / weighted by polarizabilities,2D
PubchemFP504,0.0003616781105988,SMARTS patterns,N:C:N-C,FP
RDF105i,0.0003603692620898,RDFDescriptor,Radial distribution function - 105 / weighted by relative first ionization potential,3D
AVP-7,0.0003601470736864,PaDELChiPathDescriptor,"Average valence path, order 7",2D
nHBint9,0.0003596914754335,ElectrotopologicalStateAtomTypeDescriptor,Count of E-State descriptors of strength for potential Hydrogen Bonds of path length 9,2D
TDB3s,0.000357922503528,Autocorrelation3DDescriptor,3D topological distance based autocorrelation - lag 3 / weighted by I-state,3D
ATSC0m,0.0003574359572748,AutocorrelationDescriptor,Centered Broto-Moreau autocorrelation - lag 0 / weighted by mass,2D
MATS4i,0.0003569789913925,AutocorrelationDescriptor,Moran autocorrelation - lag 4 / weighted by first ionization potential,2D
RDF135m,0.000356486274654,RDFDescriptor,Radial distribution function - 135 / weighted by relative mass,3D
ASP-6,0.0003560695461865,PaDELChiPathDescriptor,"Average simple path, order 6",2D
ETA_Eta_L,0.0003560275740523,ExtendedTopochemicalAtomDescriptor,Local index Eta_local,2D
PubchemFP308,0.0003547619057924,Atom Pairs,O-H,FP
PubchemFP695,0.0003547243892932,SMARTS patterns,O=C-C-C-C-C-N,FP
PubchemFP18,0.0003545660780727,Element Counts,>= 1 O,FP
Ku,0.0003545376113847,PaDELWHIMDescriptor,K global shape index / unweighted,3D
minHBint2,0.0003536558170094,ElectrotopologicalStateAtomTypeDescriptor,Minimum E-State descriptors of strength for potential Hydrogen Bonds of path length 2,2D
PubchemFP352,0.0003535736372929,"Atom Nearest Neighbors (""~"" bond, "":""bond aromaticity)",C(~C)(~O),FP
MDEO-11,0.000353488503383,MDEDescriptor,Molecular distance edge between all primary oxygens ,2D
PubchemFP672,0.0003527307569177,SMARTS patterns,O=C-C=C-[#1],FP
PubchemFP438,0.0003520616753308,"Atom Neighborhoods (""-"", ""="", and ""#"" matches a single, double, and triple bond order)",C(-C)(-N)(=N),FP
nHBDon_Lipinski,0.0003520240557951,PaDELHBondDonorCountDescriptor,Number of hydrogen bond donors (using Lipinski's definition: Any OH or NH. Each available hydrogen atom is counted as one hydrogen bond donor),2D
RDF85u,0.0003506887921183,RDFDescriptor,Radial distribution function - 085 / unweighted,3D
ATSC1e,0.0003505959190043,AutocorrelationDescriptor,Centered Broto-Moreau autocorrelation - lag 1 / weighted by Sanderson electronegativities,2D
PubchemFP689,0.0003491267843591,SMARTS patterns,O-C-C-C-C-C-C,FP
GRAVH-2,0.0003480216292168,GravitationalIndexDescriptor,Square root of hydrogen-included gravitational index ,3D
ATSC4e,0.0003461817597634,AutocorrelationDescriptor,Centered Broto-Moreau autocorrelation - lag 4 / weighted by Sanderson electronegativities,2D
MATS4v,0.0003451637313145,AutocorrelationDescriptor,Moran autocorrelation - lag 4 / weighted by van der Waals volumes,2D
SpMax2_Bhp,0.000344922490036,BurdenModifiedEigenvaluesDescriptor,Largest absolute eigenvalue of Burden modified matrix - n 2 / weighted by relative polarizabilities,2D
RDF40s,0.0003446891778612,RDFDescriptor,Radial distribution function - 040 / weighted by relative I-state,3D
AATSC6c,0.0003442575725907,AutocorrelationDescriptor,Average centered Broto-Moreau autocorrelation - lag 6 / weighted by charges,2D
GATS1e,0.0003441060324031,AutocorrelationDescriptor,Geary autocorrelation - lag 1 / weighted by Sanderson electronegativities,2D
RDF20s,0.0003428771427608,RDFDescriptor,Radial distribution function - 020 / weighted by relative I-state,3D
SpMax5_Bhm,0.0003424624294787,BurdenModifiedEigenvaluesDescriptor,Largest absolute eigenvalue of Burden modified matrix - n 5 / weighted by relative mass,2D
ATS7i,0.0003423014836567,AutocorrelationDescriptor,Broto-Moreau autocorrelation - lag 7 / weighted by first ionization potential,2D
MATS5i,0.0003401175928741,AutocorrelationDescriptor,Moran autocorrelation - lag 5 / weighted by first ionization potential,2D
RDF145p,0.0003387155129792,RDFDescriptor,Radial distribution function - 145 / weighted by relative polarizabilities,3D
RDF120v,0.0003380666514007,RDFDescriptor,Radial distribution function - 120 / weighted by relative van der Waals volumes,3D
LipoaffinityIndex,0.0003353644518142,ElectrotopologicalStateAtomTypeDescriptor,Lipoaffinity index,2D
maxsssCH,0.0003344880131103,ElectrotopologicalStateAtomTypeDescriptor,Maximum atom-type E-State: >CH-,2D
AATS0p,0.0003343046010254,AutocorrelationDescriptor,Average Broto-Moreau autocorrelation - lag 0 / weighted by polarizabilities,2D
GATS5m,0.0003336445196388,AutocorrelationDescriptor,Geary autocorrelation - lag 5 / weighted by mass,2D
PubchemFP729,0.0003327030613088,SMARTS patterns 2,Nc1ccc(Cl)cc1,FP
TIC5,0.0003325923607642,InformationContentDescriptor,Total information content index (neighborhood symmetry of 5-order),2D
SpMax5_Bhe,0.0003323105527377,BurdenModifiedEigenvaluesDescriptor,Largest absolute eigenvalue of Burden modified matrix - n 5 / weighted by relative Sanderson electronegativities,2D
AATS6p,0.000331493142525,AutocorrelationDescriptor,Average Broto-Moreau autocorrelation - lag 6 / weighted by polarizabilities,2D
MATS1e,0.0003302793784183,AutocorrelationDescriptor,Moran autocorrelation - lag 1 / weighted by Sanderson electronegativities,2D
PubchemFP431,0.0003298244301441,"Atom Neighborhoods (""-"", ""="", and ""#"" matches a single, double, and triple bond order)",C(-C)(-C)(=N),FP
ATSC5p,0.0003279903462344,AutocorrelationDescriptor,Centered Broto-Moreau autocorrelation - lag 5 / weighted by polarizabilities,2D
VP-5,0.0003266717712907,PaDELChiPathDescriptor,"Valence path, order 5",2D
ETA_Eta,0.0003261206093118,ExtendedTopochemicalAtomDescriptor,Composite index Eta,2D
ATS5m,0.0003245624371073,AutocorrelationDescriptor,Broto-Moreau autocorrelation - lag 5 / weighted by mass,2D
BCUTp-1l,0.0003242636051078,BCUTDescriptor,nhigh lowest polarizability weighted BCUTS ,2D
RDF110i,0.0003240071476733,RDFDescriptor,Radial distribution function - 110 / weighted by relative first ionization potential,3D
RotBFrac,0.000323586038761,PaDELRotatableBondsCountDescriptor,"Fraction of rotatable bonds, excluding terminal bonds",2D
BIC4,0.0003222754263865,InformationContentDescriptor,Bond information content index (neighborhood symmetry of 4-order),2D
GATS6v,0.0003222089044312,AutocorrelationDescriptor,Geary autocorrelation - lag 6 / weighted by van der Waals volumes,2D
SpMax5_Bhs,0.0003220880544096,BurdenModifiedEigenvaluesDescriptor,Largest absolute eigenvalue of Burden modified matrix - n 5 / weighted by relative I-state,2D
ETA_EtaP,0.0003197188565041,ExtendedTopochemicalAtomDescriptor,Composite index Eta relative to molecular size,2D
P1e,0.0003195893585662,PaDELWHIMDescriptor,1st component shape directional WHIM index / weighted by relative Sanderson electronegativities,3D
minssO,0.000319103875193,ElectrotopologicalStateAtomTypeDescriptor,Minimum atom-type E-State: -O-,2D
piPC9,0.0003191002138254,PathCountDescriptor,Conventional bond order ID number of order 9 (ln(1+x),2D
SpMax_Dzv,0.0003189840945248,BaryszMatrixDescriptor,Leading eigenvalue from Barysz matrix / weighted by van der Waals volumes,2D
ATS6e,0.0003187269098692,AutocorrelationDescriptor,Broto-Moreau autocorrelation - lag 6 / weighted by Sanderson electronegativities,2D
PNSA-2,0.0003178472533296,CPSADescriptor,Partial negative surface area * total negative charge on the molecule,3D
ATSC4s,0.0003177165705007,AutocorrelationDescriptor,Centered Broto-Moreau autocorrelation - lag 4 / weighted by I-state,2D
MATS1c,0.0003173252158601,AutocorrelationDescriptor,Moran autocorrelation - lag 1 / weighted by charges,2D
RDF10p,0.0003166233493061,RDFDescriptor,Radial distribution function - 010 / weighted by relative polarizabilities,3D
AATS2m,0.0003156435512357,AutocorrelationDescriptor,Average Broto-Moreau autocorrelation - lag 2 / weighted by mass,2D
PubchemFP2,0.000315055539218,Element Counts,>= 16 H,FP
E2u,0.0003124493681225,PaDELWHIMDescriptor,2nd component accessibility directional WHIM index / unweighted,3D
AATS2v,0.000311920046098,AutocorrelationDescriptor,Average Broto-Moreau autocorrelation - lag 2 / weighted by van der Waals volumes,2D
MATS8v,0.0003098235451112,AutocorrelationDescriptor,Moran autocorrelation - lag 8 / weighted by van der Waals volumes,2D
McGowan_Volume,0.0003092244969289,McGowanVolumeDescriptor,McGowan characteristic volume,2D
RDF155u,0.0003088275948182,RDFDescriptor,Radial distribution function - 155 / unweighted,3D
PubchemFP646,0.0003086912698393,SMARTS patterns,O=C-N-C-[#1],FP
maxtsC,0.0003084124900313,ElectrotopologicalStateAtomTypeDescriptor,Maximum atom-type E-State: #C-,2D
nHsNH2,0.0003077114444775,ElectrotopologicalStateAtomTypeDescriptor,Count of atom-type H E-State: -NH2,2D
AATSC1e,0.0003070576714949,AutocorrelationDescriptor,Average centered Broto-Moreau autocorrelation - lag 1 / weighted by Sanderson electronegativities,2D
nBondsD,0.0003062703090907,PaDELBondCountDescriptor,Number of double bonds,2D
SpAD_D,0.0003061962703508,TopologicalDistanceMatrixDescriptor,Spectral absolute deviation from topological distance matrix,2D
TDB6s,0.0003051911215346,Autocorrelation3DDescriptor,3D topological distance based autocorrelation - lag 6 / weighted by I-state,3D
GRAV-4,0.0003051419618918,GravitationalIndexDescriptor,Gravitational index of all pairs of atoms (not just bonded pairs) ,3D
WTPT-4,0.0003048238763699,PaDELWeightedPathDescriptor,Sum of path lengths starting from oxygens,2D
AATS6i,0.0003037836346091,AutocorrelationDescriptor,Average Broto-Moreau autocorrelation - lag 6 / weighted by first ionization potential,2D
TDB10i,0.0003030326564436,Autocorrelation3DDescriptor,3D topological distance based autocorrelation - lag 10 / weighted by first ionization potential,3D
MATS6m,0.0003016565599091,AutocorrelationDescriptor,Moran autocorrelation - lag 6 / weighted by mass,2D
PubchemFP770,0.000300531808222,SMARTS patterns 2,Nc1c(N)cccc1,FP
PubchemFP609,0.000299738885136,SMARTS patterns,Cl-C-C-N-C,FP
ASP-4,0.000299609301788,PaDELChiPathDescriptor,"Average simple path, order 4",2D
AVP-1,0.0002992951818326,PaDELChiPathDescriptor,"Average valence path, order 1",2D
RDF145v,0.0002989042248777,RDFDescriptor,Radial distribution function - 145 / weighted by relative van der Waals volumes,3D
nBonds2,0.0002969251110245,PaDELBondCountDescriptor,Total number of bonds (including bonds to hydrogens),2D
TDB8e,0.0002968494881835,Autocorrelation3DDescriptor,3D topological distance based autocorrelation - lag 8 / weighted by Sanderson electronegativities,3D
RDF50i,0.0002967048580231,RDFDescriptor,Radial distribution function - 050 / weighted by relative first ionization potential,3D
TDB9r,0.0002942456834447,Autocorrelation3DDescriptor,3D topological distance based autocorrelation - lag 9 / weighted by covalent radius,3D
PubchemFP667,0.000294140773812,SMARTS patterns,C=C-C-O-[#1],FP
GATS1c,0.0002932718201941,AutocorrelationDescriptor,Geary autocorrelation - lag 1 / weighted by charges,2D
GGI10,0.0002928289099391,TopologicalChargeDescriptor,Topological charge index of order 10,2D
SpMax3_Bhi,0.0002925523545732,BurdenModifiedEigenvaluesDescriptor,Largest absolute eigenvalue of Burden modified matrix - n 3 / weighted by relative first ionization potential,2D
AATSC3p,0.0002919698652391,AutocorrelationDescriptor,Average centered Broto-Moreau autocorrelation - lag 3 / weighted by polarizabilities,2D
SpMin3_Bhp,0.0002907212995496,BurdenModifiedEigenvaluesDescriptor,Smallest absolute eigenvalue of Burden modified matrix - n 3 / weighted by relative polarizabilities,2D
GATS8c,0.0002901036757937,AutocorrelationDescriptor,Geary autocorrelation - lag 8 / weighted by charges,2D
nBondsM,0.0002900896579254,PaDELBondCountDescriptor,Total number of bonds that have bond order greater than one (aromatic bonds have bond order 1.5).,2D
RDF125v,0.0002896122613986,RDFDescriptor,Radial distribution function - 125 / weighted by relative van der Waals volumes,3D
apol,0.0002890914098737,APolDescriptor,Sum of the atomic polarizabilities (including implicit hydrogens),2D
AATS0v,0.0002876993963865,AutocorrelationDescriptor,Average Broto-Moreau autocorrelation - lag 0 / weighted by van der Waals volumes,2D
PubchemFP186,0.0002872045525968,Chemical Rings,>= 2 saturated or aromatic carbon-only ring size 6,FP
SHCsatu,0.0002867319747776,ElectrotopologicalStateAtomTypeDescriptor,Sum of atom-type H E-State: H on C sp3 bonded to unsaturated C,2D
SaasC,0.0002864730113293,ElectrotopologicalStateAtomTypeDescriptor,Sum of atom-type E-State: :C:-,2D
ETA_Shape_Y,0.0002841623079971,ExtendedTopochemicalAtomDescriptor,Shape index Y,2D
PubchemFP478,0.0002834889746829,SMARTS patterns,S-C=N-[#1],FP
RDF10s,0.0002818844758281,RDFDescriptor,Radial distribution function - 010 / weighted by relative I-state,3D
RDF140p,0.000278059525011,RDFDescriptor,Radial distribution function - 140 / weighted by relative polarizabilities,3D
RDF80m,0.0002765389392809,RDFDescriptor,Radial distribution function - 080 / weighted by relative mass,3D
TSRW,0.0002750704372823,WalkCountDescriptor,Total self-return walk count (up to order 10) (ln(1+x)),2D
Vv,0.0002738819803626,PaDELWHIMDescriptor,V total size index / weighted by relative van der Waals volumes,3D
VR1_D,0.0002720164938971,TopologicalDistanceMatrixDescriptor,Randic-like eigenvector-based index from topological distance matrix,2D
ATS1e,0.0002710827511899,AutocorrelationDescriptor,Broto-Moreau autocorrelation - lag 1 / weighted by Sanderson electronegativities,2D
ATSC6v,0.0002708195728214,AutocorrelationDescriptor,Centered Broto-Moreau autocorrelation - lag 6 / weighted by van der Waals volumes,2D
GATS6s,0.0002703685275297,AutocorrelationDescriptor,Geary autocorrelation - lag 6 / weighted by I-state,2D
mindNH,0.0002701076820844,ElectrotopologicalStateAtomTypeDescriptor,Minimum atom-type E-State: =NH,2D
MDEN-33,0.0002699449858691,MDEDescriptor,Molecular distance edge between all tertiary nitrogens,2D
As,0.0002697249166336,PaDELWHIMDescriptor,A total size index / weighted by relative I-state,3D
GATS3s,0.0002681245536052,AutocorrelationDescriptor,Geary autocorrelation - lag 3 / weighted by I-state,2D
nRing,0.0002679159899866,RingCountDescriptor,Number of rings,2D
ETA_Beta_s,0.0002660432247452,ExtendedTopochemicalAtomDescriptor,A measure of electronegative atom count of the molecule,2D
SpMin8_Bhp,0.0002625372303508,BurdenModifiedEigenvaluesDescriptor,Smallest absolute eigenvalue of Burden modified matrix - n 8 / weighted by relative polarizabilities,2D
AATS2p,0.0002620520078726,AutocorrelationDescriptor,Average Broto-Moreau autocorrelation - lag 2 / weighted by polarizabilities,2D
SP-2,0.0002617927424366,PaDELChiPathDescriptor,"Simple path, order 2",2D
SpMin7_Bhe,0.0002615324708925,BurdenModifiedEigenvaluesDescriptor,Smallest absolute eigenvalue of Burden modified matrix - n 7 / weighted by relative Sanderson electronegativities,2D
nF10Ring,0.0002612221905664,RingCountDescriptor,Number of 10-membered fused rings,2D
MATS2m,0.0002611581653636,AutocorrelationDescriptor,Moran autocorrelation - lag 2 / weighted by mass,2D
L2e,0.0002602332560881,PaDELWHIMDescriptor,2nd component size directional WHIM index / weighted by relative Sanderson electronegativities,3D
MATS5p,0.000259456073735,AutocorrelationDescriptor,Moran autocorrelation - lag 5 / weighted by polarizabilities,2D
GGI4,0.0002590613779735,TopologicalChargeDescriptor,Topological charge index of order 4,2D
maxHdNH,0.0002586727451983,ElectrotopologicalStateAtomTypeDescriptor,Maximum atom-type H E-State: =NH,2D
BIC0,0.0002578979926614,InformationContentDescriptor,Bond information content index (neighborhood symmetry of 0-order),2D
ATSC1p,0.0002577450745674,AutocorrelationDescriptor,Centered Broto-Moreau autocorrelation - lag 1 / weighted by polarizabilities,2D
JGI10,0.0002574563429194,TopologicalChargeDescriptor,Mean topological charge index of order 10,2D
MATS5v,0.0002572412925706,AutocorrelationDescriptor,Moran autocorrelation - lag 5 / weighted by van der Waals volumes,2D
PubchemFP621,0.0002562476818784,SMARTS patterns,N-C:C:C:N,FP
Ks,0.0002549570964127,PaDELWHIMDescriptor,K global shape index / weighted by relative I-state,3D
Tp,0.0002534415449475,PaDELWHIMDescriptor,T total size index / weighted by relative polarizabilities,3D
AATS1p,0.0002530363806168,AutocorrelationDescriptor,Average Broto-Moreau autocorrelation - lag 1 / weighted by polarizabilities,2D
PubchemFP21,0.0002526181853919,Element Counts,>= 8 O,FP
ATSC6s,0.0002495312655474,AutocorrelationDescriptor,Centered Broto-Moreau autocorrelation - lag 6 / weighted by I-state,2D
L1e,0.0002487708948315,PaDELWHIMDescriptor,1st component size directional WHIM index / weighted by relative Sanderson electronegativities,3D
SM1_Dzv,0.0002480674078456,BaryszMatrixDescriptor,Spectral moment of order 1 from Barysz matrix / weighted by van der Waals volumes,2D
RDF110e,0.0002477840533119,RDFDescriptor,Radial distribution function - 110 / weighted by relative Sanderson electronegativities,3D
RDF40i,0.000247099919718,RDFDescriptor,Radial distribution function - 040 / weighted by relative first ionization potential,3D
minsNH2,0.0002446898226712,ElectrotopologicalStateAtomTypeDescriptor,Minimum atom-type E-State: -NH2,2D
Av,0.0002446823243271,PaDELWHIMDescriptor,A total size index / weighted by relative van der Waals volumes,3D
ETA_Eta_R_L,0.0002446121264709,ExtendedTopochemicalAtomDescriptor,Local index Eta_local for reference alkane,2D
MIC0,0.000243992127665,InformationContentDescriptor,Modified information content index (neighborhood symmetry of 0-order),2D
RDF130m,0.0002439609863918,RDFDescriptor,Radial distribution function - 130 / weighted by relative mass,3D
Au,0.0002433585504169,PaDELWHIMDescriptor,A total size index / unweighted,3D
GRAVH-1,0.0002419883887486,GravitationalIndexDescriptor,Gravitational index - hydrogens included ,3D
PubchemFP194,0.0002418877441346,Chemical Rings,>= 3 saturated or aromatic nitrogen-containing ring size 6,FP
RDF155m,0.0002406197904898,RDFDescriptor,Radial distribution function - 155 / weighted by relative mass,3D
Vs,0.0002397931652445,PaDELWHIMDescriptor,V total size index / weighted by relative I-state,3D
Vu,0.0002393774303739,PaDELWHIMDescriptor,V total size index / unweighted,3D
Ki,0.0002392553248585,PaDELWHIMDescriptor,K global shape index / weighted by relative first ionization potential,3D
PubchemFP569,0.0002387644837482,SMARTS patterns,N-C-C-N,FP
maxdNH,0.0002386111929525,ElectrotopologicalStateAtomTypeDescriptor,Maximum atom-type E-State: =NH,2D
ATSC3s,0.0002384013161544,AutocorrelationDescriptor,Centered Broto-Moreau autocorrelation - lag 3 / weighted by I-state,2D
GATS8s,0.0002357834721729,AutocorrelationDescriptor,Geary autocorrelation - lag 8 / weighted by I-state,2D
P1s,0.0002347522637013,PaDELWHIMDescriptor,1st component shape directional WHIM index / weighted by relative I-state,3D
AATS7s,0.0002344510001972,AutocorrelationDescriptor,Average Broto-Moreau autocorrelation - lag 7 / weighted by I-state,2D
ASP-0,0.0002339272734817,PaDELChiPathDescriptor,"Average simple path, order 0",2D
nsssCH,0.0002337482391842,ElectrotopologicalStateAtomTypeDescriptor,Count of atom-type E-State: >CH-,2D
AVP-4,0.0002332714895062,PaDELChiPathDescriptor,"Average valence path, order 4",2D
DPSA-2,0.0002322336395499,CPSADescriptor,Difference of FPSA-2 and PNSA-2,3D
RDF125u,0.0002315578201809,RDFDescriptor,Radial distribution function - 125 / unweighted,3D
