y_pred_run_1,y_pred_run_2,y_pred_run_3,y_pred_run_4,y_pred_run_5,average_y_pred,y_test_val,Relative_Error_%
6.776465,6.8296747,6.6250453,6.7042136,7.2780504,6.8426905,6.481486060122113,5.572864067928807
3.9355495,4.029298,4.2814183,4.011216,3.908078,4.0331116,3.868172898666653,4.263994343578225
7.4548593,7.3287315,7.3924813,7.397151,7.160069,7.346658,6.958607314841775,5.576560041812472
6.343037,6.31453,6.2975726,5.8828807,6.7754855,6.3227015,6.638272163982407,-4.7538079491831695
7.729426,7.548899,7.6278,7.2214856,7.4287567,7.5112734,7.580044251510242,-0.9072620836257234
7.5738072,7.3883266,7.7329574,7.521036,7.534458,7.5501175,7.853871964321762,-3.8675760570819535
5.1262846,4.9670186,5.5722184,5.5443826,5.2987313,5.301727,5.468521082957745,-3.0500799456150998
6.5032673,6.529787,6.0448337,6.159143,6.072279,6.2618623,6.613798394599207,-5.321240467534915
6.31008,6.421927,6.283767,6.1617312,6.768058,6.389113,6.396494767797857,-0.11540411888838996
7.499959,7.1960354,7.374532,7.388321,6.998642,7.2914977,6.040958607678906,20.701004276017162
4.9808226,5.127299,5.1988163,4.9553404,5.104103,5.0732765,4.431798275933005,14.474445899894627
6.274252,6.4064107,6.114372,6.7258534,6.2638755,6.3569527,6.609948504,-3.827500874032104
6.3242865,5.748392,6.2160773,6.3269587,5.987221,6.1205873,6.443697499232713,-5.014359385014573
6.093319,6.1753902,5.9626956,6.14883,5.792859,6.0346193,5.853871964321762,3.0876549425700177
5.7257996,5.3433094,5.770392,5.7561755,5.648373,5.64881,5.42021640338319,4.217423981350326
5.6361284,5.649109,5.7164183,5.656937,5.1398993,5.5596986,5.1487416512809245,7.981696465822724
5.3511806,5.8879447,5.793059,5.3518066,5.410552,5.558909,5.987162775294828,-7.152867760675958
7.2455387,7.042344,7.342687,7.2533402,6.9135695,7.1594954,7.5376020021010435,-5.016272394017606
5.929048,6.1054163,6.2348742,6.539903,6.685631,6.2989745,7.154901959985743,-11.962811660662927
7.785529,7.684458,7.7450957,7.6841598,7.7201447,7.723878,7.795880017344075,-0.9235918252278142
5.9678717,5.6347857,5.842935,5.9688716,5.7228465,5.827462,5.935542010773082,-1.820892080736991
5.2777576,5.203521,5.129681,5.306398,5.2418456,5.231841,5.275724130399211,-0.831791844555406
6.552951,6.2991533,6.297745,6.349382,6.0419416,6.308234,6.431798275933005,-1.9211432922679124
7.858679,8.148319,8.0623,8.340282,8.295862,8.1410885,8.366531544420413,-2.6945820679178105
5.792071,5.717881,5.827533,5.6788483,5.7890625,5.7610793,6.0,-3.9820114771525064
8.138157,7.886516,8.0328455,8.00885,8.132344,8.039742,8.319211388493317,-3.3593198400062945
5.0698104,4.85155,4.776674,4.5827355,4.779681,4.8120904,4.060480747381382,18.510361118801942
6.2472577,6.5847373,6.6220407,6.6297865,6.641609,6.545087,6.080921907623926,7.633134581959809
8.214969,8.374716,8.244467,8.462887,8.318865,8.323179,8.140261433802854,2.247075387931495
4.9600334,4.9902835,5.0662794,4.7473493,4.974591,4.947707,4.987162775,-0.7911431924638499
6.3868237,6.187155,6.3515396,6.5755215,6.0692286,6.3140535,6.167491087293763,2.376370652072926
6.4081535,6.9831963,6.401233,6.912496,6.2465696,6.5903296,7.528341640981839,-12.459742645198228
4.8802276,4.835863,4.7632446,4.7923265,4.6332545,4.7809834,4.653647025549361,2.7362716119229367
5.903864,6.0257273,5.7813745,5.673966,5.6456423,5.806115,6.723538195826756,-13.644944353027292
8.259761,7.847348,8.037116,8.446486,7.8133626,8.080815,8.0,1.0101914405822754
7.9721274,7.5488133,7.653305,7.441337,7.6320744,7.6495314,7.769551078621726,-1.544744515690844
4.928445,5.135796,5.1029882,4.743321,5.194078,5.020926,5.0,0.4185199737548828
5.9320936,5.8285923,5.992533,5.8771324,6.0912895,5.9443283,6.2839966563652006,-5.405291677163357
5.147127,4.8620224,5.125917,4.9375043,4.7816973,4.9708533,4.482804102050026,10.88714152000572
6.183242,5.839807,5.972106,5.7876716,5.874917,5.931549,6.211831628858833,-4.512075879376306
7.3402624,7.5096464,7.712694,7.6776824,7.7423077,7.5965185,7.494850021680094,1.3565113987116577
7.5173635,6.816631,7.6002026,7.4909377,7.1756916,7.320165,7.494850021680094,-2.330731954030749
5.689168,5.180596,5.27284,5.291821,5.1634808,5.319581,4.790484985457369,11.04472820493418
5.7752542,6.580059,6.0867667,7.3185477,6.2221355,6.3965526,6.119186408,4.532729291446404
5.7897234,5.629211,5.6222835,5.6489797,5.0836215,5.554764,5.657577319,-1.8172712321474702
7.676962,7.58045,7.5553813,7.618488,7.1415896,7.5145745,7.236572006437063,3.841632765570868
5.2086034,5.3483133,5.809436,5.634091,5.0453997,5.4091682,5.187086643357144,4.281432243578737
5.913263,5.787268,5.8682303,5.510906,5.785899,5.7731133,5.638272163982407,2.3915320656456993
7.5704,7.384247,7.5885262,7.182504,7.70153,7.4854417,5.585026652029182,34.026964437192966
6.201332,6.5988655,6.8317547,6.0936093,6.547607,6.454633,6.823908740944319,-5.411495361847709
7.3777165,7.320674,7.3683014,7.3146806,7.669565,7.4101877,7.638272163982407,-2.986073785187669
7.9530087,7.822649,7.941845,7.6886587,7.687649,7.8187623,8.200659450546418,-4.656907782242928
4.54889,4.701435,4.586779,4.8031707,4.7849355,4.6850424,4.690369832574101,-0.11358275525484426
5.194506,5.430649,5.1209207,6.2594376,5.59291,5.519685,6.008773924307505,-8.139582865050622
5.2578745,4.7996006,4.900657,4.9164777,4.881976,4.951317,5.124938737,-3.387784955367871
7.154817,7.000246,7.004193,6.3359823,7.0010304,6.899254,7.318758762624412,-5.731913443464006
5.5041695,5.3088865,5.306953,5.4740577,4.9222174,5.303257,4.698970004336019,12.859988117220592
7.432653,7.991935,7.414682,8.186236,7.928316,7.790764,7.823908740944319,-0.4236358968554307
7.442301,7.2736444,7.3865523,7.2374344,7.5110536,7.3701973,6.958607314841775,5.914832705431407
5.1639857,5.2122135,5.4411173,5.5984945,5.0015607,5.2834744,5.376750709602099,-1.7348073082968813
