y_pred_run_1,y_pred_run_2,y_pred_run_3,y_pred_run_4,y_pred_run_5,average_y_pred,y_test_val,Relative_Error_%
8.415044,8.440477,8.276255,8.4289665,8.661576,8.444464,8.721246399047171,-3.173659549614517
8.185739,8.061687,8.027928,7.937328,7.737627,7.9900618,7.397940008672037,8.003873383436403
5.374833,4.9427357,5.2666397,5.1652055,5.165694,5.1830215,4.698970004336019,10.30122645233901
4.92184,4.9354944,5.195508,4.843661,4.89581,4.9584627,4.603800652904264,7.703679828554848
4.8090286,4.9311023,5.4463043,4.8140745,4.9114866,4.9824,4.7447274948966935,5.009190640551296
6.496816,6.8560348,6.362755,6.684253,6.6905007,6.6180725,7.119186407719209,-7.0389208717759475
6.025322,5.595077,5.8433867,6.008203,5.6102877,5.816456,6.180456064458132,-5.8895366231454975
5.410179,5.2388916,5.462856,5.3269677,5.335759,5.354931,5.732828271596986,-6.591814301916443
7.9276295,7.60913,7.7955475,7.759874,7.805823,7.7796006,7.744727494896693,0.4502821486754959
5.385544,5.102014,5.7071915,5.472449,5.0403504,5.34151,5.795880017344075,-7.839537688040781
5.9843273,6.01361,5.9494853,6.0552764,6.062153,6.0129704,6.301029995663981,-4.571626358260866
6.137097,5.3527126,5.736155,5.7615952,5.9942718,5.796366,5.158640529545145,12.362281914287271
4.693923,4.443673,4.277172,4.4525,4.4377613,4.4610057,3.880582435427122,14.957116926253777
7.4317636,7.2855186,7.7243137,7.3456454,7.595672,7.476583,7.136677139879544,4.762802876689974
5.7839746,5.829769,5.451707,5.658204,5.2327785,5.5912867,4.703334809738469,18.879197110605624
5.860216,5.5859637,5.9766207,5.905737,5.7325606,5.81222,5.693789491832239,2.0799961945517165
5.659171,5.602235,5.573914,5.4845347,5.6012692,5.5842247,6.031517051446065,-7.415917864496327
7.063803,6.813567,6.75645,7.241325,7.0118113,6.9773917,7.080921907623926,-1.4621004038237106
7.974081,8.036268,8.193102,8.050752,7.934284,8.037698,8.140261433802854,-1.259955132690584
7.6997194,7.785845,8.084714,7.5837865,8.021677,7.835149,6.853871964321762,14.317116691509051
7.83382,7.7253323,7.930521,7.847058,7.6630507,7.7999563,7.552841968657781,3.2718062165736383
4.5851746,4.749545,4.896447,4.740872,4.8918123,4.77277,4.508638306165727,5.858345777073737
7.6955423,7.5051565,7.53462,7.6208606,7.3671637,7.5446687,7.187086643357144,4.975340480170147
5.3026075,5.5255847,5.0794272,5.2793593,5.477789,5.3329535,5.568636235841013,-4.2323249857862875
4.842203,4.511173,4.865881,4.782898,4.89911,4.780253,3.9788107009300617,20.14275854804541
6.2952204,6.0030246,6.204017,6.368005,6.092989,6.192651,6.229147988357856,-0.5859098779344868
6.342896,6.3828354,6.0667496,6.3154693,6.1701155,6.255613,6.327902142064283,-1.1423895353016915
6.86203,6.86657,6.8857126,6.8474946,6.637624,6.819886,6.242603971206976,9.247458897540408
7.7382994,7.643586,7.6548896,7.548984,7.5524607,7.6276445,7.459670525209126,2.251761831874733
5.3349457,5.6459064,6.250066,5.7411885,6.2407413,5.84257,6.040958607678906,-3.284061231495261
6.002061,5.976429,6.05193,6.133202,5.791012,5.9909267,6.795880017344075,-11.844724638104353
4.6803713,5.083275,5.149673,4.8048124,5.1931543,4.982257,4.747146969020107,4.952657287787443
4.7383375,4.903945,4.8620443,4.9556413,4.9260902,4.8772116,5.177178354696896,-5.79402066929008
7.157283,7.0804086,6.486384,6.733926,6.704015,6.8324027,6.481486060122113,5.414138714008373
4.3123665,4.45313,3.7941916,4.290837,4.2539935,4.220904,3.868172898666653,9.11880063320168
7.698015,7.560406,7.363546,7.470087,7.280941,7.474599,6.958607314841775,7.415155740146512
6.5809193,6.5544143,5.8777695,6.07297,6.2323303,6.2636805,6.638272163982407,-5.642909731029101
7.3236303,7.1066227,7.4842405,7.82013,7.7611685,7.4991584,7.580044251510242,-1.0670896687490294
7.7352314,7.385489,7.777547,7.64714,7.4015155,7.5893846,7.853871964321762,-3.367605299737679
5.2062273,5.3732443,5.259034,4.8289247,5.258637,5.1852136,5.468521082957745,-5.180697172664036
7.0209227,6.5355973,6.4076505,6.3836365,6.4199324,6.553548,6.613798394599207,-0.9109823404431628
6.4992537,6.4662533,6.189215,6.2896414,6.3168373,6.35224,6.396494767797857,-0.6918583349562567
7.1016335,7.323434,7.3477535,7.578829,7.336897,7.337709,6.040958607678906,21.465969667719072
5.140384,5.1089015,4.8453956,5.239432,5.2008996,5.1070023,4.431798275933005,15.235440341102366
6.4753685,6.1801186,6.0611253,6.6861734,6.3852825,6.3576136,6.609948504,-3.817502364953409
5.95044,5.4657187,6.3986073,6.1256933,5.627571,5.913606,6.443697499232713,-8.22650865370751
6.348452,5.9104753,6.1802053,6.3934965,5.969865,6.1604986,5.853871964321762,5.238014371114696
5.6225166,5.282382,5.9233007,5.5544314,5.9226136,5.661049,5.42021640338319,4.443226392707191
5.448395,5.4446473,5.6201863,5.505444,5.548653,5.513465,5.1487416512809245,7.083736203809682
5.587997,5.4138093,5.602879,5.445771,5.8021617,5.5705237,5.987162775294828,-6.958872709339814
